Areaname,Month of Date,Adjustment,Areatype,Periodyear,Stfips,a,Adjusted,Date,Date (NULL),Date to Param Link,Glossary,Indicator Filter,Month,Period,Emplab,Laborforce,Unemp,Unemployment Rate,Unemprate
Alachua County,March 2008,Not Seasonally Adjusted,04,2008,12,a,0,March 2008,March 2008,False,Glossary,Unemployment Rate,March,03,123730,128033,4303,3.4%,3.4
Alachua County,April 2008,Not Seasonally Adjusted,04,2008,12,a,0,April 2008,April 2008,False,Glossary,Unemployment Rate,April,04,127222,131388,4166,3.2%,3.2
Alachua County,May 2008,Not Seasonally Adjusted,04,2008,12,a,0,May 2008,May 2008,False,Glossary,Unemployment Rate,May,05,125705,131099,5394,4.1%,4.1
Alachua County,June 2008,Not Seasonally Adjusted,04,2008,12,a,0,June 2008,June 2008,False,Glossary,Unemployment Rate,June,06,123463,129740,6277,4.8%,4.8
Alachua County,August 2008,Not Seasonally Adjusted,04,2008,12,a,0,August 2008,August 2008,False,Glossary,Unemployment Rate,August,08,123553,130424,6871,5.3%,5.3
Alachua County,October 2008,Not Seasonally Adjusted,04,2008,12,a,0,October 2008,October 2008,False,Glossary,Unemployment Rate,October,10,128970,135594,6624,4.9%,4.9
Alachua County,December 2008,Not Seasonally Adjusted,04,2008,12,a,0,December 2008,December 2008,False,Glossary,Unemployment Rate,December,12,124025,131205,7180,5.5%,5.5
Alachua County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,120579,129815,9236,7.1%,7.1
Alachua County,January 2009,Not Seasonally Adjusted,04,2009,12,a,0,January 2009,January 2009,False,Glossary,Unemployment Rate,January,01,121668,129639,7971,6.1%,6.1
Alachua County,April 2009,Not Seasonally Adjusted,04,2009,12,a,0,April 2009,April 2009,False,Glossary,Unemployment Rate,April,04,123829,131792,7963,6.0%,6
Alachua County,May 2009,Not Seasonally Adjusted,04,2009,12,a,0,May 2009,May 2009,False,Glossary,Unemployment Rate,May,05,121176,130179,9003,6.9%,6.9
Alachua County,October 2009,Not Seasonally Adjusted,04,2009,12,a,0,October 2009,October 2009,False,Glossary,Unemployment Rate,October,10,121098,130781,9683,7.4%,7.4
Alachua County,December 2009,Not Seasonally Adjusted,04,2009,12,a,0,December 2009,December 2009,False,Glossary,Unemployment Rate,December,12,118557,128565,10008,7.8%,7.8
Alachua County,,Not Seasonally Adjusted,04,2010,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,117504,127384,9880,7.8%,7.8
Alachua County,January 2010,Not Seasonally Adjusted,04,2010,12,a,0,January 2010,January 2010,False,Glossary,Unemployment Rate,January,01,114930,124911,9981,8.0%,8
Alachua County,February 2010,Not Seasonally Adjusted,04,2010,12,a,0,February 2010,February 2010,False,Glossary,Unemployment Rate,February,02,115490,125285,9795,7.8%,7.8
Alachua County,May 2010,Not Seasonally Adjusted,04,2010,12,a,0,May 2010,May 2010,False,Glossary,Unemployment Rate,May,05,119905,129096,9191,7.1%,7.1
Alachua County,August 2010,Not Seasonally Adjusted,04,2010,12,a,0,August 2010,August 2010,False,Glossary,Unemployment Rate,August,08,115954,126246,10292,8.2%,8.2
Alachua County,November 2010,Not Seasonally Adjusted,04,2010,12,a,0,November 2010,November 2010,False,Glossary,Unemployment Rate,November,11,119270,129674,10404,8.0%,8
Alachua County,May 2011,Not Seasonally Adjusted,04,2011,12,a,0,May 2011,May 2011,False,Glossary,Unemployment Rate,May,05,119033,128421,9388,7.3%,7.3
Alachua County,June 2011,Not Seasonally Adjusted,04,2011,12,a,0,June 2011,June 2011,False,Glossary,Unemployment Rate,June,06,116322,126665,10343,8.2%,8.2
Alachua County,July 2011,Not Seasonally Adjusted,04,2011,12,a,0,July 2011,July 2011,False,Glossary,Unemployment Rate,July,07,116538,127209,10671,8.4%,8.4
Alachua County,August 2011,Not Seasonally Adjusted,04,2011,12,a,0,August 2011,August 2011,False,Glossary,Unemployment Rate,August,08,115945,126262,10317,8.2%,8.2
Alachua County,September 2011,Not Seasonally Adjusted,04,2011,12,a,0,September 2011,September 2011,False,Glossary,Unemployment Rate,September,09,120978,131155,10177,7.8%,7.8
Alachua County,October 2011,Not Seasonally Adjusted,04,2011,12,a,0,October 2011,October 2011,False,Glossary,Unemployment Rate,October,10,120569,130026,9457,7.3%,7.3
Alachua County,November 2011,Not Seasonally Adjusted,04,2011,12,a,0,November 2011,November 2011,False,Glossary,Unemployment Rate,November,11,119520,129174,9654,7.5%,7.5
Alachua County,December 2011,Not Seasonally Adjusted,04,2011,12,a,0,December 2011,December 2011,False,Glossary,Unemployment Rate,December,12,118156,127517,9361,7.3%,7.3
Alachua County,,Not Seasonally Adjusted,04,2012,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,120238,129079,8841,6.8%,6.8
Alachua County,May 2012,Not Seasonally Adjusted,04,2012,12,a,0,May 2012,May 2012,False,Glossary,Unemployment Rate,May,05,120212,129206,8994,7.0%,7
Alachua County,July 2012,Not Seasonally Adjusted,04,2012,12,a,0,July 2012,July 2012,False,Glossary,Unemployment Rate,July,07,118823,128648,9825,7.6%,7.6
Alachua County,November 2012,Not Seasonally Adjusted,04,2012,12,a,0,November 2012,November 2012,False,Glossary,Unemployment Rate,November,11,121621,129827,8206,6.3%,6.3
Alachua County,,Not Seasonally Adjusted,04,2013,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,121314,129007,7693,6.0%,6
Alachua County,January 2013,Not Seasonally Adjusted,04,2013,12,a,0,January 2013,January 2013,False,Glossary,Unemployment Rate,January,01,119423,128012,8589,6.7%,6.7
Alachua County,February 2013,Not Seasonally Adjusted,04,2013,12,a,0,February 2013,February 2013,False,Glossary,Unemployment Rate,February,02,120408,128250,7842,6.1%,6.1
Alachua County,April 2013,Not Seasonally Adjusted,04,2013,12,a,0,April 2013,April 2013,False,Glossary,Unemployment Rate,April,04,124212,131282,7070,5.4%,5.4
Alachua County,June 2013,Not Seasonally Adjusted,04,2013,12,a,0,June 2013,June 2013,False,Glossary,Unemployment Rate,June,06,119329,127771,8442,6.6%,6.6
Alachua County,July 2013,Not Seasonally Adjusted,04,2013,12,a,0,July 2013,July 2013,False,Glossary,Unemployment Rate,July,07,119855,128223,8368,6.5%,6.5
Alachua County,August 2013,Not Seasonally Adjusted,04,2013,12,a,0,August 2013,August 2013,False,Glossary,Unemployment Rate,August,08,119780,127532,7752,6.1%,6.1
Alachua County,September 2013,Not Seasonally Adjusted,04,2013,12,a,0,September 2013,September 2013,False,Glossary,Unemployment Rate,September,09,123801,131462,7661,5.8%,5.8
Alachua County,October 2013,Not Seasonally Adjusted,04,2013,12,a,0,October 2013,October 2013,False,Glossary,Unemployment Rate,October,10,123094,130382,7288,5.6%,5.6
Alachua County,December 2013,Not Seasonally Adjusted,04,2013,12,a,0,December 2013,December 2013,False,Glossary,Unemployment Rate,December,12,120495,127469,6974,5.5%,5.5
Alachua County,,Not Seasonally Adjusted,04,2014,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,122367,129301,6934,5.4%,5.4
Alachua County,May 2018,Not Seasonally Adjusted,04,2018,12,a,0,May 2018,May 2018,False,Glossary,Unemployment Rate,May,05,131814,135953,4139,3.0%,3
Alachua County,July 2018,Not Seasonally Adjusted,04,2018,12,a,0,July 2018,July 2018,False,Glossary,Unemployment Rate,July,07,131341,136204,4863,3.6%,3.6
Alachua County,September 2018,Not Seasonally Adjusted,04,2018,12,a,0,September 2018,September 2018,False,Glossary,Unemployment Rate,September,09,135891,140155,4264,3.0%,3
Alachua County,April 2019,Not Seasonally Adjusted,04,2019,12,a,0,April 2019,April 2019,False,Glossary,Unemployment Rate,April,04,135383,139045,3662,2.6%,2.6
Alachua County,May 2019,Not Seasonally Adjusted,04,2019,12,a,0,May 2019,May 2019,False,Glossary,Unemployment Rate,May,05,133203,137061,3858,2.8%,2.8
Alachua County,July 2019,Not Seasonally Adjusted,04,2019,12,a,0,July 2019,July 2019,False,Glossary,Unemployment Rate,July,07,132641,137579,4938,3.6%,3.6
Alachua County,August 2019,Not Seasonally Adjusted,04,2019,12,a,0,August 2019,August 2019,False,Glossary,Unemployment Rate,August,08,132346,136949,4603,3.4%,3.4
Alachua County,October 2019,Not Seasonally Adjusted,04,2019,12,a,0,October 2019,October 2019,False,Glossary,Unemployment Rate,October,10,137781,142024,4243,3.0%,3
Alachua County,December 2019,Not Seasonally Adjusted,04,2019,12,a,0,December 2019,December 2019,False,Glossary,Unemployment Rate,December,12,135994,139907,3913,2.8%,2.8
Alachua County,,Not Seasonally Adjusted,04,2020,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,127696,134931,7235,5.4%,5.4
Alachua County,April 2020,Not Seasonally Adjusted,04,2020,12,a,0,April 2020,April 2020,False,Glossary,Unemployment Rate,April,04,116827,128757,11930,9.3%,9.3
Alachua County,December 2020,Not Seasonally Adjusted,04,2020,12,a,0,December 2020,December 2020,False,Glossary,Unemployment Rate,December,12,130623,134549,3926,2.9%,2.9
Alachua County,January 2021,Not Seasonally Adjusted,04,2021,12,a,0,January 2021,January 2021,False,Glossary,Unemployment Rate,January,01,132046,137195,5149,3.8%,3.8
Alachua County,March 2021,Not Seasonally Adjusted,04,2021,12,a,0,March 2021,March 2021,False,Glossary,Unemployment Rate,March,03,135564,141231,5667,4.0%,4
Alachua County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,125425,131246,5821,4.4%,4.4
Baker County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,11531,12245,714,5.8%,5.8
Bay County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,83626,88653,5027,5.7%,5.7
Bradford County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,11856,12475,619,5.0%,5
Brevard County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,250742,268840,18098,6.7%,6.7
Broward County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,950763,1006721,55958,5.6%,5.6
Calhoun County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,5439,5757,318,5.5%,5.5
Charlotte County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,63728,69531,5803,8.3%,8.3
Citrus County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,51889,56616,4727,8.3%,8.3
Clay County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,90706,95993,5287,5.5%,5.5
Collier County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,137814,148368,10554,7.1%,7.1
Columbia County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,29763,31560,1797,5.7%,5.7
DeSoto County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,13758,14778,1020,6.9%,6.9
Dixie County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,5080,5496,416,7.6%,7.6
Duval County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,418438,446829,28391,6.4%,6.4
Escambia County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,129494,138002,8508,6.2%,6.2
Flagler County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,28769,31935,3166,9.9%,9.9
Franklin County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4582,4817,235,4.9%,4.9
Gadsden County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,19783,21106,1323,6.3%,6.3
Gilchrist County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,7373,7828,455,5.8%,5.8
Glades County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4345,4675,330,7.1%,7.1
Gulf County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,5957,6368,411,6.5%,6.5
Hamilton County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4441,4791,350,7.3%,7.3
Hardee County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,10952,11758,806,6.9%,6.9
Hendry County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,15619,17565,1946,11.1%,11.1
Hernando County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,57578,63163,5585,8.8%,8.8
Highlands County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,37916,40939,3023,7.4%,7.4
Hillsborough County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,560054,599256,39202,6.5%,6.5
Holmes County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,8531,8999,468,5.2%,5.2
Indian River County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,57748,62940,5192,8.2%,8.2
Jackson County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,20973,22155,1182,5.3%,5.3
Jefferson County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,6491,6844,353,5.2%,5.2
Lafayette County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,2839,2978,139,4.7%,4.7
Lake County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,127816,136844,9028,6.6%,6.6
Lee County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,262214,286092,23878,8.3%,8.3
Leon County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,140372,147218,6846,4.7%,4.7
Levy County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,15666,16891,1225,7.3%,7.3
Liberty County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,3683,3851,168,4.4%,4.4
Madison County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,6530,7034,504,7.2%,7.2
Manatee County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,133932,144269,10337,7.2%,7.2
Marion County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,127220,138375,11155,8.1%,8.1
Martin County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,59125,63675,4550,7.1%,7.1
Monroe County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,44710,46650,1940,4.2%,4.2
Nassau County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,34261,36276,2015,5.6%,5.6
Okaloosa County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,92269,96861,4592,4.7%,4.7
Okeechobee County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,16183,17662,1479,8.4%,8.4
Orange County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,566854,603287,36433,6.0%,6
Osceola County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,129094,138080,8986,6.5%,6.5
Palm Beach County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,585947,628411,42464,6.8%,6.8
Pasco County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,182473,197619,15146,7.7%,7.7
Pinellas County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,418214,447744,29530,6.6%,6.6
Polk County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,254490,273427,18937,6.9%,6.9
Putnam County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,29618,32057,2439,7.6%,7.6
St. Johns County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,91366,96362,4996,5.2%,5.2
St. Lucie County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,113354,124487,11133,8.9%,8.9
Santa Rosa County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,66289,70359,4070,5.8%,5.8
Sarasota County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,154823,167160,12337,7.4%,7.4
Seminole County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,227205,241178,13973,5.8%,5.8
Sumter County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,29145,30934,1789,5.8%,5.8
Suwannee County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,15979,17008,1029,6.1%,6.1
Taylor County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,8525,9139,614,6.7%,6.7
Union County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,5045,5309,264,5.0%,5
Volusia County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,237301,254567,17266,6.8%,6.8
Wakulla County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,15178,15916,738,4.6%,4.6
Walton County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,29684,31129,1445,4.6%,4.6
Washington County,,Not Seasonally Adjusted,04,2008,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,9234,9881,647,6.5%,6.5
Baker County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,10887,12111,1224,10.1%,10.1
Bay County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,80695,88810,8115,9.1%,9.1
Bradford County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,11467,12473,1006,8.1%,8.1
Brevard County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,238983,266755,27772,10.4%,10.4
Broward County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,891041,980551,89510,9.1%,9.1
Calhoun County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,5413,5917,504,8.5%,8.5
Charlotte County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,60681,68858,8177,11.9%,11.9
Citrus County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,49892,56762,6870,12.1%,12.1
Clay County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,85993,94785,8792,9.3%,9.3
Collier County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,127434,143337,15903,11.1%,11.1
Columbia County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,28674,31597,2923,9.3%,9.3
DeSoto County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,13458,14967,1509,10.1%,10.1
Dixie County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4944,5582,638,11.4%,11.4
Duval County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,395185,441641,46456,10.5%,10.5
Escambia County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,123507,137044,13537,9.9%,9.9
Flagler County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,27910,32733,4823,14.7%,14.7
Franklin County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4555,4919,364,7.4%,7.4
Gadsden County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,19147,21270,2123,10.0%,10
Gilchrist County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,6993,7712,719,9.3%,9.3
Glades County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4394,4843,449,9.3%,9.3
Gulf County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,5753,6361,608,9.6%,9.6
Hamilton County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,4306,4848,542,11.2%,11.2
Hardee County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,10701,11962,1261,10.5%,10.5
Hendry County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,14744,17192,2448,14.2%,14.2
Hernando County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,54056,62318,8262,13.3%,13.3
Highlands County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,36113,40483,4370,10.8%,10.8
Hillsborough County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,533687,596872,63185,10.6%,10.6
Holmes County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,8173,8884,711,8.0%,8
Indian River County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,54261,62299,8038,12.9%,12.9
Jackson County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,20328,21958,1630,7.4%,7.4
Jefferson County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,6042,6578,536,8.1%,8.1
Lafayette County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,2844,3074,230,7.5%,7.5
Lake County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,120749,135874,15125,11.1%,11.1
Lee County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,244526,278817,34291,12.3%,12.3
Leon County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,136962,147363,10401,7.1%,7.1
Levy County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,14824,16742,1918,11.5%,11.5
Liberty County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,3644,3867,223,5.8%,5.8
Madison County,,Not Seasonally Adjusted,04,2009,12,a,0,,,,Glossary,Unemployment Rate,Annual,00,6378,7140,762,10.7%,10.7
